contract_id,bond_code,bond_name,coupon_rate,maturity_date,cf,announce_date,source_url
T2606,230004,2023年记账式附息（四期）国债,0.0288,2033-02-25,0.9928,,http://www.cffex.com.cn/sj/jgsj/jgqsj/index_6882.csv
T2606,230012,2023年记账式附息（十二期）国债,0.026699999999999998,2033-05-25,0.9795,,http://www.cffex.com.cn/sj/jgsj/jgqsj/index_6882.csv
T2606,230018,2023年记账式附息（十八期）国债,0.0252,2033-08-25,0.9692,,http://www.cffex.com.cn/sj/jgsj/jgqsj/index_6882.csv
T2606,230026,2023年记账式附息（二十六期）国债,0.026699999999999998,2033-11-25,0.9782,,http://www.cffex.com.cn/sj/jgsj/jgqsj/index_6882.csv
T2606,240004,2024年记账式附息（四期）国债,0.0235,2034-02-25,0.9558,,http://www.cffex.com.cn/sj/jgsj/jgqsj/index_6882.csv
T2606,2400101,2024年到期续作特别国债（一期）,0.0217,2034-08-29,0.9403,,http://www.cffex.com.cn/sj/jgsj/jgqsj/index_6882.csv
T2606,240011,2024年记账式附息（十一期）国债,0.0227,2034-05-25,0.9489,,http://www.cffex.com.cn/sj/jgsj/jgqsj/index_6882.csv
T2606,240017,2024年记账式附息（十七期）国债,0.021099999999999997,2034-08-25,0.9359,,http://www.cffex.com.cn/sj/jgsj/jgqsj/index_6882.csv
T2606,240023,2024年记账式附息（二十三期）国债,0.0204,2034-11-25,0.9291,,http://www.cffex.com.cn/sj/jgsj/jgqsj/index_6882.csv
T2606,250004,2025年记账式附息（四期）国债,0.0161,2035-02-15,0.8946,,http://www.cffex.com.cn/sj/jgsj/jgqsj/index_6882.csv
T2606,250009,2025年记账式附息（九期）国债,0.0165,2035-05-15,0.8951,,http://www.cffex.com.cn/sj/jgsj/jgqsj/index_6882.csv
T2606,250011,2025年记账式附息（十一期）国债,0.0167,2035-05-25,0.8966,,http://www.cffex.com.cn/sj/jgsj/jgqsj/index_6882.csv
